site,code,latitude,longitude,site_type,postcode,valid
Leamington Spa Rugby Road,LEAR,52.294884,-1.542911,Urban Traffic,CV32 6DF,TRUE
London Bloomsbury,CLL2,51.52229,-0.125889,Urban Background,WC1B 5EH,TRUE
London Bridge Place,BRI,51.49521,-0.141655,Urban Background,SW1P 1NN,TRUE
London Honor Oak Park,HP1,51.449674,-0.037418,Urban Background,SE23 1NH,TRUE
London Southwark,SK1,51.49055,-0.096667,Urban Background,SE17 1RT,TRUE
London Teddington,TED,51.42099,-0.339647,Urban Background,TW11 0NL,TRUE
London Teddington Bushy Park,TED2,51.425286,-0.345606,Urban Background,TW11 0JY,TRUE
London UCL,LON5,51.52378,-0.128958,Urban Background,WC1E 6EA,TRUE
London Wandsworth,WA2,51.45696,-0.191164,Urban Background,SW18 2PT,TRUE
London Westminster,HORS,51.49467,-0.131931,Urban Background,SW1P 2EF,TRUE
Lough Navar,LN,54.43951,-7.900328,Rural Background,BT93 6AH,TRUE
Lullington Heath,LH,50.7937,0.18125,Rural Background,BN25 4AP,TRUE
Market Harborough,MKTH,52.554444,-0.772222,Rural Background,LE16 8DG,TRUE
Narberth,PEMB,51.781784,-4.691462,Rural Background,SA67 8TG,TRUE
Peebles,PEEB,55.657472,-3.196527,Urban Background,EH45 8HQ,TRUE
Port Talbot,PT,51.5798,-3.76169,Urban Industrial,SA13 2AZ,TRUE
Port Talbot Margam,PT4,51.58395,-3.770822,Urban Industrial,SA13 1PZ,TRUE
Redcar,REDC,54.610735,-1.0733,Suburban Background,TS10 1PJ,TRUE
Rugeley,RUGE,52.753297,-1.93773,Urban Background,WS15 1NU,TRUE
Saltash Callington Road,SASH,50.411463,-4.227678,Urban Traffic,PL12 6EB,TRUE
Saltash Roadside,SALT,50.4131,-4.2303,Urban Traffic,PL12 6JH,TRUE
Sandy Roadside,SDY,52.132417,-0.300306,Urban Traffic,SG19 1DN,TRUE
Scunthorpe,SCUN,53.58499,-0.633015,Urban Industrial,DN16 1TR,TRUE
Scunthorpe Town,SCN2,53.58634,-0.636811,Urban Industrial,DN16 1AG,TRUE
Sibton,SIB,52.2944,1.463497,Rural Background,IP17 2JT,TRUE
Somerton,SOM,51.03572,-2.735253,Rural Background,TA10 9JQ,TRUE
Southampton A33,SA33,50.920265,-1.463484,Urban Traffic,SO15 0LU,TRUE
Southampton Centre,SOUT,50.90814,-1.395778,Urban Background,SO14 0BY,TRUE
Southwark A2 Old Kent Road,SK5,51.480499,-0.05955,Urban Traffic,SE15 1AJ,TRUE
Southwark Roadside,SK2,51.48199,-0.0623,Urban Traffic,SE15 1JS,TRUE
St Helens Linkway,SHLW,53.451826,-2.742134,Urban Traffic,WA10 3JQ,TRUE
St Osyth,OSY,51.77798,1.049031,Rural Background,CO16 8ET,TRUE
Stanford-le-Hope Roadside,HOPE,51.518167,0.439548,Urban Traffic,SS17 0BL,TRUE
Stewartby,STEW,52.071944,-0.511111,Urban Industrial,MK43 9NN,TRUE
Stockton-on-Tees Eaglescliffe,EAGL,54.516667,-1.358547,Urban Traffic,TS16 0LA,TRUE
Stockton-on-Tees Yarm,YARM,54.50918,-1.354319,Urban Traffic,TS15 9AA,TRUE
Storrington Roadside,STOR,50.916932,-0.449548,Urban Traffic,RH20 4NA,TRUE
Strathvaich,SV,57.734456,-4.776583,Rural Background,IV23 2PQ,TRUE
Thurrock,THUR,51.47707,0.317969,Urban Background,RM17 5YB,TRUE
Walsall Willenhall,WAL2,52.60821,-2.033144,Urban Background,WV12 5QF,TRUE
Walsall Woodlands,WAL4,52.605621,-2.030523,Urban Background,WV12 5NZ,TRUE
Weybourne,WEYB,52.95049,1.122017,Rural Background,NR25 7EG,TRUE
Wharleycroft,WC,54.616238,-2.468931,Rural Background,CA16 6DG,TRUE
Wirral Tranmere,TRAN,53.37287,-3.022722,Urban Background,CH42 6PU,TRUE
Worthing A27 Roadside,WTHG,50.832947,-0.379916,Urban Traffic,BN14 9JA,TRUE
Wrexham,WREX,53.04222,-3.002778,Urban Traffic,LL13 7SF,TRUE
Yarner Wood,YW,50.5976,-3.71651,Rural Background,TQ13 9LJ,TRUE
York Bootham,YK10,53.967513,-1.086514,Urban Background,YO30 7AG,TRUE
York Fishergate,YK11,53.951889,-1.075861,Urban Traffic,YO10 4AN,TRUE
